,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
1785,v20_Survivorman2,sp4,3537,6,30.9760422015,30.205969710700003,30.296130560199998,30.462202009899997,29.285367443000002,30.353078159200003,51.921403339099996,61.9852918842,60.713267038400005,58.4366886873,76.6136228165,59.923296394,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1786,v20_Survivorman2,sp4,5380,6,31.1051890095,30.2115267679,30.311655233000003,30.4926658292,29.287319220700002,30.473925009699997,50.396917508,61.906910562,60.4951426898,58.029278511,76.5719523299,58.2778903262,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1787,v20_Survivorman2,sp4,8183,6,31.1908893829,30.2049652937,30.3177809693,30.5089605875,29.284589220300003,30.570480790599998,49.4128580791,62.0073537436,60.415573941999995,57.8138281224,76.6267651148,56.9960821004,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1788,v20_Survivorman2,sp4,12445,6,31.2421061665,30.198149470100002,30.315709588,30.5133021256,29.2839751275,30.6501710191,48.8351833027,62.13620196,60.442098670600004,57.7534594481,76.6493176475,55.9632279618,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1789,v20_Survivorman2,sp4,14312,6,31.250625042600003,30.197080874,30.311366733699998,30.515324172899998,29.2839356169,30.6782903583,48.74275370310001,62.151359820799996,60.5140975588,57.732276247899996,76.63987345390001,55.6042209424,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1790,v20_Survivorman2,sp4,500,7,30.0311250093,29.9442544506,30.0276054077,30.0307435335,29.2181605259,29.7011785463,64.5382035043,65.82840212010001,64.5793649229,64.53744459069999,77.7936126652,69.6205072756,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1791,v20_Survivorman2,sp4,760,7,30.2677343848,30.0799210419,30.1267747014,30.1683167073,29.2470900816,29.853633989499997,61.120578853599994,63.807359198,63.1223553495,62.520298545200006,77.2842286983,67.2236282059,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1792,v20_Survivorman2,sp4,1005,7,30.396233434099997,30.1046588263,30.1779361679,30.2347049825,29.252076671300003,29.974119420900003,59.339945345,63.4480857555,62.384940351800005,61.572998006999995,77.195787851,65.3819249565,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1793,v20_Survivorman2,sp4,1529,7,30.6105194444,30.1380384804,30.225364316700002,30.3098856802,29.256977675500003,30.1018538314,56.4870428268,62.957647279,61.7066327543,60.5160524467,77.1147455724,63.4919254842,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1794,v20_Survivorman2,sp4,2326,7,30.793800613000002,30.1644615748,30.260270447699998,30.3669490129,29.262558214299997,30.2298620925,54.154410545299996,62.5814656996,61.211797255200004,59.7261164327,77.0200361709,61.650389536300004,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
